"SSN","Country","Site","Region","Cluster","Plot","SiteID","Depth","Longitude","Latitude","Altitude","Date","Total_C","CORG","CINORG","pH","Clay_8um","Alox","Feox","LandCover","PlotCultMgd","GPP","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET","Delta14C","TurnoverTime","Zones","F14C","F14C_err","Delta14C_err","Delta13C","SSN.XRPD","Quartz","Erosion","Clay_1_1","Clay_2_1","Amorphous","Pedogenic_Oxides","Feldspars","Mox"
"icr041680","Kenya","Marafa","East Africa",3,1,"Marafa_3_1","Subsoil",39.51435852,-2.62334704,169,"19-09-11",0.513,0.5101,0.0031,7.85,71.9215,0.1352712,0.1470846,"Other","no",0.963394861,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",26.0041666030884,720,1897,-85.9,880,"SHZone12",0.9218,0.0024,2.4,-16.72,"icr041680",39.6118,"yes",0,36.4917,2.3108,2.9957,14.5493,0.2088135
"icr041789","Kenya","Marafa","East Africa",8,6,"Marafa_8_6","Topsoil",39.53932953,-2.59726691,181,"15-09-11",0.426,0.4236,0.0022,6.88,38.815,0.0664799,0.0666666,"Other","no",0.963394861,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9875001907349,707,1900,-49.3,579,"SHZone12",0.9588,0.0025,2.5,-20.63,"icr041779",51.1919,"yes",0,18.4797,1.1462,2.2856,19.6687,0.0998132
"icr041790","Kenya","Marafa","East Africa",8,6,"Marafa_8_6","Subsoil",39.53932953,-2.59726691,181,"15-09-11",0.487,0.4856,0.0014,6.89,74.165,0.0980885,0.0736721,"Other","no",0.963394861,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9875001907349,707,1900,-113.4,1138,"SHZone12",0.8942,0.0022,2.2,-19.14,"icr041780",44.3521,"yes",0,22.5815,1.0342,3.3488,18.9592,0.13492455
"icr041898","Kenya","Marafa","East Africa",14,2,"Marafa_14_2","Topsoil",39.57897949,-2.64556789,153,"22-09-11",0.434,0.4296,0.0039,7.49,66.6375,0.133134,0.1204776,"Other","no",0.963394861,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9791667461395,713,1880,-91.8,933,"SHZone12",0.9159,0.0025,2.5,-17.9,"icr041898",72.9768,"yes",1.7163,19.9315,0.5319,0,1.916,0.1933728
"icr041899","Kenya","Marafa","East Africa",14,2,"Marafa_14_2","Subsoil",39.57897949,-2.64556789,153,"22-09-11",0.386,0.386,0,4.81,58.774,0.1090755,0.1013152,"Other","no",0.963394861,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9791667461395,713,1880,-114.9,1153,"SHZone12",0.8926,0.0026,2.6,-20.01,"icr041899",67.2507,"yes",7.6909,11.5267,2.279,3.8184,1.4797,0.1597331
"icr041992","Kenya","Morijo","East Africa",1,4,"Morijo_1_4","Topsoil",35.7769928,-1.75783205,2122,"04-11-11",2.187,2.1538,0.0332,7.46,64.085,0.1670053,0.169174,"Grassland","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.4166667262713,864,1582,-10.4,330,"SHZone12",0.9981,0.0019,1.9,-13.79,"icr041987",23.2716,"yes",2.1008,18.0183,27.6551,0,12.9222,0.2515923
"icr041993","Kenya","Morijo","East Africa",1,4,"Morijo_1_4","Subsoil",35.7769928,-1.75783205,2122,"04-11-11",1.586,1.4377,0.1483,7.95,74.7,0.184258,0.1402451,"Grassland","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.4166667262713,864,1582,-143.6,1451,"SHZone12",0.8637,0.0018,1.8,-10.36,"icr041988",19.152,"yes",2.59,23.2376,20.4411,0,15.8299,0.25438055
"icr042024","Kenya","Morijo","East Africa",3,1,"Morijo_3_1","Topsoil",35.78072357,-1.70595801,2240,"06-11-11",1.382,1.382,0,6.28,51.537,0.115779049,0.253600013,"Cropland","yes",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.5958332618078,916,1505,6,253,"SHZone12",1.0145,0.002,2,-11.9,"icr042024",57.15,"yes",4.1478,4.0767,10.1925,0,10.5539,0.2425790555
"icr042025","Kenya","Morijo","East Africa",3,1,"Morijo_3_1","Subsoil",35.78072357,-1.70595801,2240,"06-11-11",1.155,1.155,0,5.98,47.4665,0.0983576,0.2789207,"Cropland","yes",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.5958332618078,916,1505,-52.1,600,"SHZone12",0.9559,0.0018,1.8,-11.1,"icr042025",49.9236,"yes",5.6215,5.0806,10.4042,0,11.7071,0.23781795
"icr042074","Kenya","Morijo","East Africa",5,9,"Morijo_5_9","Topsoil",35.79964447,-1.75745797,2154,"08-11-11",1.258,1.258,0,6.3,35.826,0.0747814,0.1593711,"Grassland","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1791665554047,887,1557,26.1,180,"SHZone12",1.0348,0.0019,1.9,-12.58,"icr042062",32.2425,"yes",15.814,14.4635,3.5607,6.3416,13.0844,0.15446695
"icr042075","Kenya","Morijo","East Africa",5,9,"Morijo_5_9","Subsoil",35.79964447,-1.75745797,2154,"08-11-11",0.988,0.9867,9e-04,6.94,43.995,0.133731,0.1776234,"Grassland","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1791665554047,887,1557,-25.4,416,"SHZone12",0.9829,0.002,2,-11.82,"icr042063",32.3921,"yes",18.9891,6.7989,3.4542,5.4763,12.9727,0.2225427
"icr042082","Kenya","Morijo","East Africa",6,3,"Morijo_6_3","Topsoil",35.80267715,-1.72688997,2127,"09-11-11",1.55,1.5349,0.0151,7.12,75.701,0.1964034,0.1759566,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833333412806,888,1569,-119.7,1201,"SHZone12",0.8878,0.0016,1.6,-13.28,"icr042078",46.5184,"yes",0,33.9637,0,0,12.0735,0.2843817
"icr042083","Kenya","Morijo","East Africa",6,3,"Morijo_6_3","Subsoil",35.80267715,-1.72688997,2127,"09-11-11",1.302,1.2818,0.0202,7.49,78.966,0.2065773,0.1844196,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833333412806,888,1569,-192.1,2014,"SHZone12",0.8148,0.0015,1.5,-12.75,"icr042079",40.9655,"yes",0,44.92,0,0,11.505,0.2987871
"icr042108","Kenya","Morijo","East Africa",7,7,"Morijo_7_7","Topsoil",35.79957581,-1.70866501,2156,"10-11-11",1.376,1.376,0,6.11,44.156,0.1096065,0.4518671,"Grassland","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1083334684372,892,1545,19.4,201,"SHZone12",1.0281,0.0017,1.7,-13.79,"icr042098",62.6668,"yes",0,27.7603,0,0,6.0993,0.33554005
"icr042109","Kenya","Morijo","East Africa",7,7,"Morijo_7_7","Subsoil",35.79957581,-1.70866501,2156,"10-11-11",0.951,0.9508,0,6.37,38.856,0.1030649,0.4675595,"Grassland","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1083334684372,892,1545,-49.7,582,"SHZone12",0.9584,0.0019,1.9,-13.22,"icr042099",53.7752,"yes",0,31.7879,0,0,7.298,0.33684465
"icr042113","Kenya","Morijo","East Africa",7,10,"Morijo_7_10","Topsoil",35.80049515,-1.70868194,2163,"10-11-11",1.37,1.37,0,6.15,50.994,0.1943892,0.3163437,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.0250000158946,905,1538,25.9,180,"SHZone12",1.0346,0.0019,1.9,-17.45,"icr042098",62.6668,"yes",0,27.7603,0,0,6.0993,0.35256105
"icr042114","Kenya","Morijo","East Africa",7,10,"Morijo_7_10","Subsoil",35.80049515,-1.70868194,2163,"10-11-11",1.145,1.145,0,5.75,65.409,0.2054936,0.3223468,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.0250000158946,905,1538,13.5,223,"SHZone12",1.0221,0.0019,1.9,-15.95,"icr042099",53.7752,"yes",0,31.7879,0,0,7.298,0.366667
"icr042117","Kenya","Morijo","East Africa",8,2,"Morijo_8_2","Topsoil",35.80121613,-1.67825699,2538,"11-11-11",3.628,3.628,0,6.26,72.877,0.3112573,0.3816636,"Grassland","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.0041667024295,1016,1381,23.9,187,"SHZone12",1.0326,0.0018,1.8,-11.58,"icr042115",24.1354,"yes",17.9134,5.4455,2.5051,8.3262,12.3505,0.5020891
"icr042118","Kenya","Morijo","East Africa",8,2,"Morijo_8_2","Subsoil",35.80121613,-1.67825699,2538,"11-11-11",2.424,2.424,0,6.16,78.106,0.379932,0.4911113,"Grassland","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.0041667024295,1016,1381,-69.1,735,"SHZone12",0.9388,0.0016,1.6,-10.39,"icr042116",22.6951,"yes",22.8757,9.4103,2.3367,12.0614,11.7558,0.62548765
"icr042141","Kenya","Morijo","East Africa",9,5,"Morijo_9_5","Topsoil",35.8225708,-1.75320995,2145,"12-11-11",1.598,1.598,0,6.38,30.302,0.0892457,0.3039226,"Forest","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.8916667699814,963,1496,62.1,97,"SHZone12",1.0712,0.0021,2.1,-20.32,"icr042134",30.9956,"yes",12.7392,7.2466,2.4133,1.09,18.2397,0.241207
"icr042142","Kenya","Morijo","East Africa",9,5,"Morijo_9_5","Subsoil",35.8225708,-1.75320995,2145,"12-11-11",1.302,1.302,0,5.92,31.437,0.102693,0.4100331,"Forest","no",2.362960319,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.8916667699814,963,1496,72.1,81,"SHZone12",1.0812,0.0021,2.1,-20.76,"icr042135",30.4531,"yes",16.6416,8.5914,3.83,3.2015,16.8991,0.30770955
"icr042191","Kenya","Morijo","East Africa",12,2,"Morijo_12_2","Topsoil",35.82104874,-1.68677199,2471,"15-11-11",4.258,4.258,0,6.27,40.506,0.2252972,0.3992737,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403,64.4,93,"SHZone12",1.0735,0.002,2,-20.8,"icr042189",23.7031,"yes",19.1118,7.8033,7.9574,7.9591,11.5483,0.42493405
"icr042192","Kenya","Morijo","East Africa",12,2,"Morijo_12_2","Subsoil",35.82104874,-1.68677199,2471,"15-11-11",2.466,2.466,0,5.75,39.665,0.1956388,0.3422237,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403,-29.9,444,"SHZone12",0.9783,0.0018,1.8,-19.56,"icr042190",17.9366,"yes",21.6296,7.7077,3.5043,10.5382,11.8715,0.36675065
"icr042204","Kenya","Morijo","East Africa",12,9,"Morijo_12_9","Topsoil",35.81818008,-1.68444002,2422,"15-11-11",4.354,4.354,0,6.29,33.1,0.3545731,0.5247014,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403,63.8,94,"SHZone12",1.0729,0.0023,2.3,-20.85,"icr042189",23.7031,"yes",19.1118,7.8033,7.9574,7.9591,11.5483,0.6169238
"icr042205","Kenya","Morijo","East Africa",12,9,"Morijo_12_9","Subsoil",35.81818008,-1.68444002,2422,"15-11-11",1.786,1.786,0,5.98,27.173,0.21406375,0.420486009,"Other","no",2.250670604,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403,-52.1,600,"SHZone12",0.956,0.0019,1.9,-18.38,"icr042190",17.9366,"yes",21.6296,7.7077,3.5043,10.5382,11.8715,0.4243067545
"icr042239","Kenya","Morijo","East Africa",14,7,"Morijo_14_7","Topsoil",35.84237671,-1.73143196,2118,"17-11-11",7.179,7.179,0,6.71,24.327,0.134849553,0.356571471,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2624999682109,912,1532,81.2,69,"SHZone12",1.0904,0.002,2,-23.4895,"icr042227",42.5829,"yes",5.8252,7.9994,3.5317,7.9035,27.6414,0.3131352885
"icr042240","Kenya","Morijo","East Africa",14,7,"Morijo_14_7","Subsoil",35.84237671,-1.73143196,2118,"17-11-11",3.26,3.26,0,6.26,35.358,0.148939549,0.44905486,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2624999682109,912,1532,46.1,127,"SHZone12",1.055,0.0019,1.9,-22.1235,"icr042228",48.9951,"yes",5.8458,7.7379,1.4769,8.9505,23.8394,0.373466979
"icr042241","Kenya","Morijo","East Africa",14,8,"Morijo_14_8","Topsoil",35.84387589,-1.733603,2131,"17-11-11",2.681,2.681,0,6.18,52.477,0.130718886,0.379234461,"Other","no",3.652831944,"Temperate, no dry season, warm summer","Cfb","Tropical, savannah","Aw","Temperate (humid)","Tropical (seasonal)",16.0833334525426,985,1488,71.4,82,"SHZone12",1.0805,0.0019,1.9,-18.4085,"icr042227",42.5829,"yes",5.8252,7.9994,3.5317,7.9035,27.6414,0.3203361165
"icr042242","Kenya","Morijo","East Africa",14,8,"Morijo_14_8","Subsoil",35.84387589,-1.733603,2131,"17-11-11",1.477,1.477,0,6,58.038,0.221458639,0.376530753,"Other","no",3.652831944,"Temperate, no dry season, warm summer","Cfb","Tropical, savannah","Aw","Temperate (humid)","Tropical (seasonal)",16.0833334525426,985,1488,-57.8,643,"SHZone12",0.9502,0.0018,1.8,-16.1115,"icr042228",48.9951,"yes",5.8458,7.7379,1.4769,8.9505,23.8394,0.4097240155
"icr042267","Kenya","Morijo","East Africa",16,2,"Morijo_16_2","Topsoil",35.85451508,-1.68508506,2198,"19-11-11",0.915,0.9147,0,5.98,18.17,0.02918389,0.072826776,"Grassland","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460,65.7,91,"SHZone12",1.0748,0.0019,1.9,-18.72,"icr042265",77.552,"yes",0,4.4404,0,0,10.1393,0.065597278
"icr042268","Kenya","Morijo","East Africa",16,2,"Morijo_16_2","Subsoil",35.85451508,-1.68508506,2198,"19-11-11",0.404,0.4042,0,5.46,14.183,0.036891313,0.048653503,"Grassland","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460,-31.6,455,"SHZone12",0.9766,0.0026,2.6,-16.79,"icr042266",63.1513,"yes",6.3476,16.808,0,0,5.7731,0.0612180645
"icr042280","Kenya","Morijo","East Africa",16,9,"Morijo_16_9","Topsoil",35.848,-1.68759,2224,"19-11-11",3.186,3.186,0,6.48,61.46,0.315473134,0.470204974,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447,68.8,86,"SHZone12",1.0779,0.0035,3.5,-12.79,"icr042265",77.552,"no",0,4.4404,0,0,10.1393,0.550575621
"icr042281","Kenya","Morijo","East Africa",16,9,"Morijo_16_9","Subsoil",35.848,-1.68759,2224,"19-11-11",1.23,1.23,0,6.61,71.209,0.288487752,0.399445217,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447,-67.7,723,"SHZone12",0.9402,0.0018,1.8,-11.04,"icr042266",63.1513,"no",6.3476,16.808,0,0,5.7731,0.4882103605
"icr042282","Kenya","Morijo","East Africa",16,10,"Morijo_16_10","Topsoil",35.8489,-1.68592,2233,"19-11-11",2.586,2.586,0,6.36,28.912,0.105157103,0.204172739,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447,64.8,92,"SHZone12",1.0739,0.0022,2.2,-15.51,"icr042265",77.552,"no",0,4.4404,0,0,10.1393,0.2072434725
"icr042283","Kenya","Morijo","East Africa",16,10,"Morijo_16_10","Subsoil",35.8489,-1.68592,2233,"19-11-11",0.737,0.7373,0,6.76,28.218,0.027446205,0.08583136,"Other","no",3.652831944,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447,-36.3,486,"SHZone12",0.9719,0.0018,1.8,-16.25,"icr042266",63.1513,"no",6.3476,16.808,0,0,5.7731,0.070361885
"icr048664","SAfrica","Madadeni","South Africa",13,2,"Madadeni_13_2","Topsoil",30.0861,-27.6154,1328,"08-11-10",1.561,1.561,0,5.61,51.362,0.1306778,0.2345729,"Grassland","no",1.9243495,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.8375000456969,789,1815,27.1,182,"SHZone3",1.0358,0.002,2,-11.51,"icr048664",47.0949,"yes",6.8808,5.0882,3.3213,6.1895,22.771,0.24796425
"icr048665","SAfrica","Madadeni","South Africa",13,2,"Madadeni_13_2","Subsoil",30.0861,-27.6154,1328,"08-11-10",1.163,1.163,0,5.53,55.751,0.201606815,0.311692835,"Grassland","no",1.9243495,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.8375000456969,789,1815,-106.7,1077,"SHZone3",0.9008,0.0017,1.7,-12.19,"icr048665",48.9777,"yes",9.463,8.3916,3.6404,6.2311,18.8188,0.3574532325
"icr048837","SAfrica","Hopetown","South Africa",8,2,"Hopetown_8_2","Topsoil",23.933,-29.7781,1173,"14-06-11",0.503,0.4511,0.0514,7.77,24.097,0.140796704,0.145979502,"Other","no",0.444533503,"Arid, steppe, cold","BSk","Arid, desert, hot","BWh","Arid","Arid",17.6249999981374,326,2340,-115,1158,"SHZone3",0.8925,0.0025,2.5,-17.59,"icr048837",59.6343,"yes",0,8.8716,1.6219,4.422,16.2157,0.213786455
"icr048838","SAfrica","Hopetown","South Africa",8,2,"Hopetown_8_2","Subsoil",23.933,-29.7781,1173,"14-06-11",0.339,0.3308,0.0081,7.65,20.641,0.094608321,0.098777488,"Other","no",0.444533503,"Arid, steppe, cold","BSk","Arid, desert, hot","BWh","Arid","Arid",17.6249999981374,326,2340,-152.8,1555,"SHZone3",0.8544,0.0025,2.5,-18.62,"icr048838",59.0153,"yes",0,7.3106,0.999,4.7348,16.2807,0.143997065
"icr050214","Mozambique","Martinho","South Africa",5,1,"Martinho_5_1","Topsoil",38.96290833,-16.17429833,129,"18-08-10",0.537,0.5371,0,5.26,16.8305,0.1616575,0.0583642,"Other","no",3.623479778,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1625000238419,1149,1764,-1.2,290,"SHZone3",1.0073,0.0023,2.3,-15.05,"icr050214",83.0719,"yes",5.7972,0,0,0,6.12,0.1908396
"icr050215","Mozambique","Martinho","South Africa",5,1,"Martinho_5_1","Subsoil",38.96290833,-16.17429833,129,"18-08-10",0.374,0.3743,0,4.88,33.932,0.3071029,0.0830752,"Other","no",3.623479778,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1625000238419,1149,1764,-75.4,792,"SHZone3",0.9325,0.0026,2.6,-16.59,"icr050215",72.0711,"yes",12.1727,0,0,3.3703,5.2228,0.3486405
"icr050354","Mozambique","Martinho","South Africa",12,1,"Martinho_12_1","Topsoil",38.98612833,-16.11628667,149,"10-08-10",0.242,0.2417,0,5.79,38.137,0.0385613,0.0334376,"Cropland","yes",3.486144993,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1166668335597,1130,1766,-69.4,742,"SHZone3",0.9385,0.0054,5.4,NA,"icr050354",91.0466,"no",0,0,1.7833,0,5.5166,0.0552801
"icr050355","Mozambique","Martinho","South Africa",12,1,"Martinho_12_1","Subsoil",38.98612833,-16.11628667,149,"10-08-10",0.479,0.479,0,6.33,28.786,0.0696749,0.0556197,"Cropland","yes",3.486144993,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1166668335597,1130,1766,17,216,"SHZone3",1.0256,0.0032,3.2,-19.64,"icr050355",73.9734,"no",11.2517,2.3515,1.2395,2.9834,2.5823,0.09748475
"icr054175","Uganda","Namasuba","East Africa",1,7,"Namasuba_1_7","Topsoil",32.26567841,0.49293199,1160,"26-01-12",1.979,1.979,0,5.25,53.829,0.1051815,0.8686649,"Cropland","yes",5.398255347,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.7750002145767,1158,1549,31.1,171,"NHZone3",1.0399,0.0022,2.2,-19.41,"icr054165",55.311,"no",7.2284,2.7613,0.8625,10.3642,2.1894,0.53951395
"icr054176","Uganda","Namasuba","East Africa",1,7,"Namasuba_1_7","Subsoil",32.26567841,0.49293199,1160,"26-01-12",0.424,0.424,0,4.99,57.256,0.057096,0.3169024,"Cropland","yes",5.398255347,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.7750002145767,1158,1549,-140.1,1417,"NHZone3",0.8672,0.002,2,-19.53,"icr054166",42.7189,"no",13.1347,5.5259,0.7744,13.0102,1.8588,0.2155472
"icr054181","Uganda","Namasuba","East Africa",1,10,"Namasuba_1_10","Topsoil",32.26797867,0.49572,1153,"26-01-12",2.345,2.345,0,4.88,42.448,0.0921506,0.6436605,"Cropland","yes",5.398255347,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8791666030884,1172,1555,14.5,226,"NHZone3",1.0231,0.002,2,-18.51,"icr054165",55.311,"no",7.2284,2.7613,0.8625,10.3642,2.1894,0.41398085
"icr054182","Uganda","Namasuba","East Africa",1,10,"Namasuba_1_10","Subsoil",32.26797867,0.49572,1153,"26-01-12",0.632,0.6324,0,5.25,34.355,0.0559656,0.3349111,"Cropland","yes",5.398255347,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8791666030884,1172,1555,-92.7,946,"NHZone3",0.9151,0.0026,2.6,-18.37,"icr054166",42.7189,"no",13.1347,5.5259,0.7744,13.0102,1.8588,0.22342115
"icr054188","Uganda","Namasuba","East Africa",2,4,"Namasuba_2_4","Topsoil",32.26695633,0.51490003,1132,"27-01-12",1.472,1.472,0,5.56,29.782,0.059799,0.3388197,"Grassland","no",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565,47,131,"NHZone3",1.0559,0.0019,1.9,-19.36,"icr054183",58.9801,"no",8.5714,3.523,1.6041,7.2347,1.6441,0.22920885
"icr054189","Uganda","Namasuba","East Africa",2,4,"Namasuba_2_4","Subsoil",32.26695633,0.51490003,1132,"27-01-12",1.031,1.031,0,5.54,25.689,0.0376439,0.2075026,"Grassland","no",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565,29.3,176,"NHZone3",1.0381,0.002,2,-18.36,"icr054184",51.3138,"no",11.0746,5.3898,1.4678,9.4853,1.0441,0.1413952
"icr054190","Uganda","Namasuba","East Africa",2,5,"Namasuba_2_5","Topsoil",32.27025223,0.51411301,1125,"27-01-12",2.049,2.049,0,5.6,38.033,0.0732341,0.6515925,"Cropland","yes",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565,30.1,174,"NHZone3",1.0389,0.002,2,-17.39,"icr054183",58.9801,"no",8.5714,3.523,1.6041,7.2347,1.6441,0.39903035
"icr054191","Uganda","Namasuba","East Africa",2,5,"Namasuba_2_5","Subsoil",32.27025223,0.51411301,1125,"27-01-12",0.859,0.8591,0,5.37,35.1,0.1085915,0.3025397,"Cropland","yes",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565,-12.4,348,"NHZone3",0.996,0.0019,1.9,-17.42,"icr054184",51.3138,"no",11.0746,5.3898,1.4678,9.4853,1.0441,0.25986135
"icr054201","Uganda","Namasuba","East Africa",3,1,"Namasuba_3_1","Topsoil",32.26804352,0.53347302,1119,"28-01-12",2.355,2.355,0,5.73,34.047,0.1063973,0.6068236,"Other","no",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.170833269755,1182,1581,15,224,"NHZone3",1.0236,0.0018,1.8,-16.96,"icr054201",69.9563,"no",6.6377,3.4313,7.5772,3.7942,1.4372,0.4098091
"icr054202","Uganda","Namasuba","East Africa",3,1,"Namasuba_3_1","Subsoil",32.26804352,0.53347302,1119,"28-01-12",0.722,0.7216,0,4.85,27.846,0.0625349,0.2352792,"Other","no",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.170833269755,1182,1581,-75.5,794,"NHZone3",0.9324,0.0017,1.7,-16.69,"icr054202",85.0767,"no",3.5345,0,2.1359,0,1.7376,0.1801745
"icr054234","Uganda","Namasuba","East Africa",4,9,"Namasuba_4_9","Topsoil",32.26136017,0.55520201,1137,"29-01-12",1.777,1.777,0,5.9,54.077,0.1495792,0.1897119,"Cropland","yes",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.154166618983,1184,1582,-10.1,336,"NHZone3",0.9983,0.0024,2.4,-18.93,"icr054220",63.1996,"no",5.3906,2.3676,8.5073,4.7034,1.0918,0.24443515
"icr054235","Uganda","Namasuba","East Africa",4,9,"Namasuba_4_9","Subsoil",32.26136017,0.55520201,1137,"29-01-12",1.129,1.129,0,5.81,71.456,0.1559811,0.2228548,"Cropland","yes",5.393121181,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.154166618983,1184,1582,-56.6,640,"NHZone3",0.9515,0.0018,1.8,-17,"icr054221",72.3658,"no",5.2473,2.6583,0,4.4785,0.9561,0.2674085
