"SSN","Country","Site","Cluster","Plot","Longitude","Latitude","F14C","F14C_err","Delta14C","Delta14C_err","Delta13C","Zones","TurnoverTime"
"icr054410","Uganda","Namasuba",15,5,32.33211136,0.52495998,1.0438,0.0018,35,1.8,-20.57,"NHZone3",207
"icr054411","Uganda","Namasuba",15,5,32.33211136,0.52495998,1.0156,0.0017,7,1.7,-19.22,"NHZone3",480
"icr054415","Uganda","Namasuba",15,9,32.33204269,0.52944702,1.0266,0.0017,18,1.7,-19.05,"NHZone3",331
"icr054416","Uganda","Namasuba",15,9,32.33204269,0.52944702,0.978,0.0017,-30.3,1.7,-20.02,"NHZone3",2540
"icr054426","Uganda","Namasuba",16,5,32.33074188,0.56059003,1.0281,0.0019,19.5,1.9,-17.22,"NHZone3",316
"icr054427","Uganda","Namasuba",16,5,32.33074188,0.56059003,0.9586,0.0018,-49.5,1.8,-17.29,"NHZone3",5526
"icr054433","Uganda","Namasuba",16,9,32.32992935,0.56426501,1.0432,0.0019,34.4,1.9,-20.33,"NHZone3",210
"icr054434","Uganda","Namasuba",16,9,32.32992935,0.56426501,1.0069,0.0019,-1.6,1.9,-18.73,"NHZone3",677
"icr054445","Uganda","Hoima",1,6,31.46744833,1.452473333,0.9969,0.0019,-11.5,1.9,-15.93,"NHZone3",1061
"icr054446","Uganda","Hoima",1,6,31.46744833,1.452473333,0.96,0.0018,-48,1.8,-15.85,"NHZone3",5218
"icr054446","Uganda","Hoima",1,6,31.46744833,1.452473333,0.96,0.0018,-48,1.8,-15.85,"NHZone3",5218
"icr054449","Uganda","Hoima",1,8,31.472245,1.457278333,1.036,0.0021,27.2,2.1,-17.5,"NHZone3",253
"icr054450","Uganda","Hoima",1,8,31.472245,1.457278333,0.9466,0.0018,-61.4,1.8,-15.4,"NHZone3",6474
"icr054523","Uganda","Hoima",6,7,31.49498167,1.481888333,1.0912,0.002,82,2,-19.08,"NHZone3",77
"icr054524","Uganda","Hoima",6,7,31.49498167,1.481888333,1.0086,0.002,0.1,2,-21.65,"NHZone3",630
"icr054556","Uganda","Hoima",8,8,31.48545833,1.52404,1.0785,0.0019,69.4,1.9,-17.38,"NHZone3",98
"icr054557","Uganda","Hoima",8,8,31.48545833,1.52404,1.0252,0.0019,16.5,1.9,-18.37,"NHZone3",347
"icr054574","Uganda","Hoima",9,6,31.51262,1.461373333,1.0469,0.0019,38,1.9,-17.13,"NHZone3",192
"icr054575","Uganda","Hoima",9,6,31.51262,1.461373333,0.9941,0.0018,-14.3,1.8,-14.59,"NHZone3",1211
"icr054643","Uganda","Hoima",13,4,31.533415,1.45752,1.0604,0.0019,51.4,1.9,-17.4,"NHZone3",142
"icr054644","Uganda","Hoima",13,4,31.533415,1.45752,0.9932,0.0018,-15.2,1.8,-16.33,"NHZone3",1262
"icr054709","Uganda","Hoima",16,8,31.53856333,1.52303,1.0701,0.002,61.1,2,-15.85,"NHZone3",116
"icr054710","Uganda","Hoima",16,8,31.53856333,1.52303,1.0088,0.0019,0.3,1.9,-15.45,"NHZone3",624
"icr056500","Zambia","Monga",16,1,28.32967,-16.04378333,1.0247,0.0033,16.1,3.3,-20.37,"SHZone3",348
"icr056500","Zambia","Monga",16,1,28.32967,-16.04378333,1.0247,0.0033,16.1,3.3,-20.37,"SHZone3",348
"icr056501","Zambia","Monga",16,1,28.32967,-16.04378333,0.9423,0.0054,-65.7,5.4,NA,"SHZone3",6475
"icr056501","Zambia","Monga",16,1,28.32967,-16.04378333,0.9423,0.0054,-65.7,5.4,NA,"SHZone3",6475
"icr062136","Madagascar","Didy",1,2,48.6886,-18.3426,1.0553,0.0021,46.4,2.1,-26.0865,"SHZone3",157
"icr062137","Madagascar","Didy",1,2,48.6886,-18.3426,0.9863,0.0018,-22,1.8,-25.62,"SHZone3",1735
"icr062141","Madagascar","Didy",1,5,48.6894,-18.3452,1.0812,0.0022,72.1,2.2,-26.68,"SHZone3",93
"icr062142","Madagascar","Didy",1,5,48.6894,-18.3452,0.994,0.0021,-14.4,2.1,-25.5,"SHZone3",1208
"icr062147","Madagascar","Didy",1,8,48.6914,-18.3482,1.0492,0.002,40.3,2,-26,"SHZone3",181
"icr062148","Madagascar","Didy",1,8,48.6914,-18.3482,0.9878,0.002,-20.5,2,-25.88,"SHZone3",1617
"icr062151","Madagascar","Didy",1,10,48.6911,-18.3417,1.0691,0.0022,60.1,2.2,-25.96,"SHZone3",118
"icr062152","Madagascar","Didy",1,10,48.6911,-18.3417,0.9692,0.002,-38.9,2,-25.46,"SHZone3",3641
"icr062157","Madagascar","Didy",2,2,48.6871,-18.3113,1.064,0.002,55,2,-26.6315,"SHZone3",131
"icr062158","Madagascar","Didy",2,2,48.6871,-18.3113,0.9871,0.0018,-21.2,1.8,-25.4745,"SHZone3",1671
"icr062159","Madagascar","Didy",2,3,48.6861,-18.3158,1.0231,0.0018,14.5,1.8,-26.14,"SHZone3",366
"icr062160","Madagascar","Didy",2,3,48.6861,-18.3158,0.9365,0.0017,-71.4,1.7,-25.52,"SHZone3",6475
"icr062165","Madagascar","Didy",2,6,48.689,-18.3145,1.059,0.0018,50.1,1.8,-26.28,"SHZone3",145
"icr062165","Madagascar","Didy",2,6,48.689,-18.3145,1.059,0.0018,50.1,1.8,-26.28,"SHZone3",145
"icr062166","Madagascar","Didy",2,6,48.689,-18.3145,1.0594,0.0018,50.5,1.8,-26.51,"SHZone3",144
"icr062167","Madagascar","Didy",2,7,48.6913,-18.3171,1.0516,0.0019,42.8,1.9,-26.31,"SHZone3",170
"icr062167","Madagascar","Didy",2,7,48.6913,-18.3171,1.0516,0.0019,42.8,1.9,-26.31,"SHZone3",170
"icr062168","Madagascar","Didy",2,7,48.6913,-18.3171,0.9949,0.0017,-13.4,1.7,-25.42,"SHZone3",1152
"icr062169","Madagascar","Didy",2,8,48.6868,-18.3108,1.063,0.002,54.1,2,-26.35,"SHZone3",133
"icr062170","Madagascar","Didy",2,8,48.6868,-18.3108,0.9916,0.0017,-16.7,1.7,-25.61,"SHZone3",1349
"icr062170","Madagascar","Didy",2,8,48.6868,-18.3108,0.9916,0.0017,-16.7,1.7,-25.61,"SHZone3",1349
"icr062179","Madagascar","Didy",3,3,48.6889,-18.3041,1.0841,0.0021,74.9,2.1,-27.0615,"SHZone3",88
"icr062180","Madagascar","Didy",3,3,48.6889,-18.3041,1.0339,0.0019,25.2,1.9,-26.0885,"SHZone3",265
"icr062180","Madagascar","Didy",3,3,48.6889,-18.3041,1.0339,0.0019,25.2,1.9,-26.0885,"SHZone3",265
"icr062180","Madagascar","Didy",3,3,48.6889,-18.3041,1.0339,0.0019,25.2,1.9,-26.0885,"SHZone3",265
"icr062183","Madagascar","Didy",3,5,48.6864,-18.301,1.0375,0.0034,28.7,3.4,-26.04,"SHZone3",241
"icr062184","Madagascar","Didy",3,5,48.6864,-18.301,0.9951,0.0021,-13.3,2.1,-25.46,"SHZone3",1146
"icr062187","Madagascar","Didy",3,7,48.6897,-18.3016,1.0314,0.0022,22.7,2.2,-25.68,"SHZone3",284
"icr062188","Madagascar","Didy",3,7,48.6897,-18.3016,0.91,0.0021,-97.7,2.1,-25.08,"SHZone3",6475
"icr062195","Madagascar","Didy",4,1,48.6875,-18.2759,1.0745,0.0019,65.4,1.9,-26.4365,"SHZone3",106
"icr062196","Madagascar","Didy",4,1,48.6875,-18.2759,1.034,0.0019,25.3,1.9,-26.0195,"SHZone3",264
"icr062196","Madagascar","Didy",4,1,48.6875,-18.2759,1.034,0.0019,25.3,1.9,-26.0195,"SHZone3",264
"icr062199","Madagascar","Didy",4,3,48.6856,-18.2763,1.0894,0.0035,80.2,3.5,-26.36,"SHZone3",79
"icr062200","Madagascar","Didy",4,3,48.6856,-18.2763,0.9515,0.0019,-56.5,1.9,-25.04,"SHZone3",6475
"icr062201","Madagascar","Didy",4,4,48.6847,-18.2806,1.0367,0.0018,27.9,1.8,-26.25,"SHZone3",246
"icr062202","Madagascar","Didy",4,4,48.6847,-18.2806,0.9805,0.0019,-27.7,1.9,-25.77,"SHZone3",2256
"icr062203","Madagascar","Didy",4,5,48.688,-18.2833,1.0772,0.0025,68.2,2.5,-26.48,"SHZone3",100
"icr062204","Madagascar","Didy",4,5,48.688,-18.2833,0.9972,0.0021,-11.2,2.1,-25.4,"SHZone3",1036
"icr062209","Madagascar","Didy",4,8,48.6918,-18.2811,1.0645,0.002,55.5,2,-26.18,"SHZone3",129
"icr062210","Madagascar","Didy",4,8,48.6918,-18.2811,0.9643,0.0023,-43.8,2.3,-25.66,"SHZone3",4428
"icr062211","Madagascar","Didy",4,9,48.6881,-18.2798,1.0339,0.0034,25.2,3.4,-26.17,"SHZone3",265
"icr062211","Madagascar","Didy",4,9,48.6881,-18.2798,1.0339,0.0034,25.2,3.4,-26.17,"SHZone3",265
"icr062211","Madagascar","Didy",4,9,48.6881,-18.2798,1.0339,0.0034,25.2,3.4,-26.17,"SHZone3",265
"icr062212","Madagascar","Didy",4,9,48.6881,-18.2798,0.9407,0.003,-67.3,3,-25.29,"SHZone3",6475
"icr062213","Madagascar","Didy",4,10,48.6938,-18.2774,1.0465,0.0034,37.6,3.4,-26.29,"SHZone3",192
"icr062214","Madagascar","Didy",4,10,48.6938,-18.2774,1.0005,0.0021,-7.9,2.1,-25.44,"SHZone3",889
"icr062219","Madagascar","Didy",5,3,48.7164,-18.3374,1.0769,0.0022,67.9,2.2,-26.1075,"SHZone3",101
"icr062220","Madagascar","Didy",5,3,48.7164,-18.3374,1.0033,0.0017,-5.2,1.7,-25.8805,"SHZone3",786
"icr062227","Madagascar","Didy",5,7,48.7087,-18.3377,1.0276,0.002,18.9,2,-25.86,"SHZone3",319
"icr062228","Madagascar","Didy",5,7,48.7087,-18.3377,0.9654,0.0018,-42.7,1.8,-25.54,"SHZone3",4240
"icr062228","Madagascar","Didy",5,7,48.7087,-18.3377,0.9654,0.0018,-42.7,1.8,-25.54,"SHZone3",4240
"icr062237","Madagascar","Didy",6,2,48.7092,-18.3233,1.0446,0.002,35.8,2,-26.0115,"SHZone3",201
"icr062238","Madagascar","Didy",6,2,48.7092,-18.3233,0.9815,0.0021,-26.8,2.1,-25.5615,"SHZone3",2166
"icr062241","Madagascar","Didy",6,4,48.7156,-18.3228,1.0588,0.0019,49.9,1.9,-26.16,"SHZone3",146
"icr062242","Madagascar","Didy",6,4,48.7156,-18.3228,0.9532,0.0019,-54.9,1.9,-25.47,"SHZone3",6475
"icr062243","Madagascar","Didy",6,5,48.7144,-18.3216,1.0386,0.002,29.9,2,-25.51,"SHZone3",233
"icr062244","Madagascar","Didy",6,5,48.7144,-18.3216,0.9654,0.0018,-42.7,1.8,-25.22,"SHZone3",4240
"icr062244","Madagascar","Didy",6,5,48.7144,-18.3216,0.9654,0.0018,-42.7,1.8,-25.22,"SHZone3",4240
"icr062247","Madagascar","Didy",6,7,48.7119,-18.317,1.0339,0.0018,25.2,1.8,-26.07,"SHZone3",265
"icr062247","Madagascar","Didy",6,7,48.7119,-18.317,1.0339,0.0018,25.2,1.8,-26.07,"SHZone3",265
"icr062247","Madagascar","Didy",6,7,48.7119,-18.317,1.0339,0.0018,25.2,1.8,-26.07,"SHZone3",265
"icr062248","Madagascar","Didy",6,7,48.7119,-18.317,1.0346,0.002,25.9,2,-25.92,"SHZone3",260
"icr062249","Madagascar","Didy",6,8,48.7139,-18.3219,1.0532,0.0019,44.4,1.9,-25.82,"SHZone3",164
"icr062250","Madagascar","Didy",6,8,48.7139,-18.3219,0.9775,0.002,-30.7,2,-25.32,"SHZone3",2577
"icr062251","Madagascar","Didy",6,9,48.7118,-18.3216,1.0557,0.002,46.8,2,-26.05,"SHZone3",156
"icr062251","Madagascar","Didy",6,9,48.7118,-18.3216,1.0557,0.002,46.8,2,-26.05,"SHZone3",156
"icr062252","Madagascar","Didy",6,9,48.7118,-18.3216,0.9422,0.0019,-65.7,1.9,-25.18,"SHZone3",6475
"icr062252","Madagascar","Didy",6,9,48.7118,-18.3216,0.9422,0.0019,-65.7,1.9,-25.18,"SHZone3",6475
"icr062253","Madagascar","Didy",6,10,48.7157,-18.318,1.0426,0.0021,33.8,2.1,-26.35,"SHZone3",211
"icr062254","Madagascar","Didy",6,10,48.7157,-18.318,1.0248,0.002,16.1,2,-25.43,"SHZone3",348
"icr062254","Madagascar","Didy",6,10,48.7157,-18.318,1.0248,0.002,16.1,2,-25.43,"SHZone3",348
"icr062259","Madagascar","Didy",7,3,48.7147,-18.2955,1.0585,0.0018,49.6,1.8,-26.2875,"SHZone3",146
"icr062260","Madagascar","Didy",7,3,48.7147,-18.2955,0.979,0.0018,-29.3,1.8,-25.6945,"SHZone3",2423
"icr062261","Madagascar","Didy",7,4,48.7112,-18.2946,1.0119,0.0021,3.4,2.1,-26.44,"SHZone3",546
"icr062262","Madagascar","Didy",7,4,48.7112,-18.2946,1.0125,0.0021,3.9,2.1,-26.39,"SHZone3",535
"icr062263","Madagascar","Didy",7,5,48.7105,-18.2959,1.0708,0.0036,61.8,3.6,-26.74,"SHZone3",114
"icr062264","Madagascar","Didy",7,5,48.7105,-18.2959,0.9832,0.0032,-25.1,3.2,-25.79,"SHZone3",2004
"icr062265","Madagascar","Didy",7,6,48.7069,-18.2948,1.0614,0.0035,52.5,3.5,-25.56,"SHZone3",138
"icr062266","Madagascar","Didy",7,6,48.7069,-18.2948,0.9653,0.0021,-42.9,2.1,-25.64,"SHZone3",4274
"icr062281","Madagascar","Didy",8,5,48.7098,-18.2787,1.04,0.0018,31.2,1.8,-26.4475,"SHZone3",226
"icr062282","Madagascar","Didy",8,5,48.7098,-18.2787,1.0105,0.0018,2,1.8,-25.4515,"SHZone3",577
"icr062287","Madagascar","Didy",8,8,48.711,-18.2751,1.0549,0.0036,46,3.6,-26.02,"SHZone3",159
"icr062288","Madagascar","Didy",8,8,48.711,-18.2751,0.9689,0.0023,-39.3,2.3,-25.69,"SHZone3",3701
"icr062294","Madagascar","Didy",9,1,48.7392,-18.349,1.0517,0.0061,42.8,6.1,NA,"SHZone3",170
"icr062294","Madagascar","Didy",9,1,48.7392,-18.349,1.0517,0.0061,42.8,6.1,NA,"SHZone3",170
"icr062295","Madagascar","Didy",9,1,48.7392,-18.349,0.9565,0.0059,-51.6,5.9,NA,"SHZone3",5977
"icr062296","Madagascar","Didy",9,2,48.7347,-18.3434,1.0438,0.0018,34.9,1.8,-25.72,"SHZone3",205
"icr062297","Madagascar","Didy",9,2,48.7347,-18.3434,0.9836,0.0016,-24.7,1.6,-25.53,"SHZone3",1968
"icr062298","Madagascar","Didy",9,3,48.7403,-18.3477,1.0268,0.0017,18.2,1.7,-25.71,"SHZone3",325
"icr062299","Madagascar","Didy",9,3,48.7403,-18.3477,1.0528,0.0016,43.9,1.6,-26.09,"SHZone3",166
"icr062302","Madagascar","Didy",9,5,48.7331,-18.3427,1.057,0.0019,48.1,1.9,-26.39,"SHZone3",152
"icr062303","Madagascar","Didy",9,5,48.7331,-18.3427,0.9672,0.0018,-40.9,1.8,-25.64,"SHZone3",3947
"icr062306","Madagascar","Didy",9,7,48.7353,-18.3491,1.0652,0.0018,56.2,1.8,-26.36,"SHZone3",127
"icr062307","Madagascar","Didy",9,7,48.7353,-18.3491,0.9979,0.0016,-10.5,1.6,-25.91,"SHZone3",1004
"icr062308","Madagascar","Didy",9,8,48.7346,-18.3483,1.0409,0.0019,32.1,1.9,-25.87,"SHZone3",220
"icr062309","Madagascar","Didy",9,8,48.7346,-18.3483,1.0137,0.0018,5.2,1.8,-25.58,"SHZone3",510
"icr062312","Madagascar","Didy",9,10,48.7391,-18.3409,1.0403,0.0019,31.5,1.9,-25.84,"SHZone3",224
"icr062313","Madagascar","Didy",9,10,48.7391,-18.3409,0.9987,0.0019,-9.7,1.9,-25.6,"SHZone3",966
"icr062316","Madagascar","Didy",10,2,48.7354,-18.32,0.9982,0.0018,-10.2,1.8,-25.34,"SHZone3",989
"icr062317","Madagascar","Didy",10,2,48.7354,-18.32,1.048,0.0019,39.1,1.9,-25.97,"SHZone3",186
"icr062318","Madagascar","Didy",10,3,48.7376,-18.3213,1.059,0.0021,50.1,2.1,-26,"SHZone3",145
"icr062318","Madagascar","Didy",10,3,48.7376,-18.3213,1.059,0.0021,50.1,2.1,-26,"SHZone3",145
"icr062319","Madagascar","Didy",10,3,48.7376,-18.3213,0.9359,0.0018,-72,1.8,-25.28,"SHZone3",6475
"icr062320","Madagascar","Didy",10,7,48.738,-18.3232,1.0554,0.0019,46.5,1.9,-25.95,"SHZone3",157
"icr062321","Madagascar","Didy",10,7,48.738,-18.3232,0.9519,0.0018,-56.1,1.8,-25.18,"SHZone3",6475
"icr062322","Madagascar","Didy",10,8,48.7375,-18.3185,1.0497,0.0018,40.9,1.8,-26.13,"SHZone3",178
"icr062323","Madagascar","Didy",10,8,48.7375,-18.3185,0.977,0.0022,-31.3,2.2,-25.56,"SHZone3",2645
"icr062324","Madagascar","Didy",10,9,48.7358,-18.3188,1.0685,0.0018,59.5,1.8,-26.12,"SHZone3",119
"icr062325","Madagascar","Didy",10,9,48.7358,-18.3188,1.0158,0.002,7.2,2,-25.77,"SHZone3",472
"icr062336","Madagascar","Didy",11,2,48.7418,-18.297,1.0523,0.0019,43.4,1.9,-26.35,"SHZone3",168
"icr062337","Madagascar","Didy",11,2,48.7418,-18.297,0.9628,0.002,-45.3,2,-25.82,"SHZone3",4695
"icr062339","Madagascar","Didy",11,4,48.7365,-18.2977,1.0605,0.0019,51.6,1.9,-25.86,"SHZone3",140
"icr062340","Madagascar","Didy",11,4,48.7365,-18.2977,0.953,0.0019,-55.1,1.9,-25.34,"SHZone3",6475
"icr062351","Madagascar","Didy",11,10,48.736,-18.3009,1.0512,0.0019,42.3,1.9,-25.81,"SHZone3",172
"icr062352","Madagascar","Didy",11,10,48.736,-18.3009,0.9059,0.0018,-101.7,1.8,-25.01,"SHZone3",6475
"icr062353","Madagascar","Didy",12,1,48.7363,-18.2763,1.0643,0.0018,55.4,1.8,-25.93,"SHZone3",130
"icr062354","Madagascar","Didy",12,1,48.7363,-18.2763,0.9703,0.002,-37.9,2,-25.23,"SHZone3",3496
"icr062355","Madagascar","Didy",12,2,48.7349,-18.2724,1.0372,0.0017,28.5,1.7,-25.73,"SHZone3",242
"icr062356","Madagascar","Didy",12,2,48.7349,-18.2724,0.9509,0.0021,-57.1,2.1,-25.02,"SHZone3",6475
"icr062357","Madagascar","Didy",12,3,48.7321,-18.2748,1.0457,0.0017,36.9,1.7,-26.28,"SHZone3",196
"icr062358","Madagascar","Didy",12,3,48.7321,-18.2748,0.9789,0.002,-29.4,2,-25.71,"SHZone3",2434
"icr062359","Madagascar","Didy",12,4,48.7372,-18.2749,1.0317,0.0017,23,1.7,-25.9,"SHZone3",282
"icr062360","Madagascar","Didy",12,4,48.7372,-18.2749,0.9786,0.0016,-29.7,1.6,-25.85,"SHZone3",2466
"icr062365","Madagascar","Didy",12,7,48.7338,-18.2715,1.0475,0.0018,38.7,1.8,-25.78,"SHZone3",187
"icr062366","Madagascar","Didy",12,7,48.7338,-18.2715,0.9905,0.0018,-17.8,1.8,-25.56,"SHZone3",1422
"icr062369","Madagascar","Didy",12,9,48.7336,-18.2716,1.0557,0.0018,46.8,1.8,-26,"SHZone3",156
"icr062369","Madagascar","Didy",12,9,48.7336,-18.2716,1.0557,0.0018,46.8,1.8,-26,"SHZone3",156
"icr062370","Madagascar","Didy",12,9,48.7336,-18.2716,1.0075,0.002,-1,2,-25.67,"SHZone3",654
"icr062381","Madagascar","Didy",13,5,48.7638,-18.3392,1.0561,0.0018,47.2,1.8,-26.02,"SHZone3",154
"icr062382","Madagascar","Didy",13,5,48.7638,-18.3392,0.9721,0.0021,-36.1,2.1,-25.16,"SHZone3",3245
"icr062383","Madagascar","Didy",13,6,48.7624,-18.338,1.0526,0.002,43.7,2,-26.16,"SHZone3",167
"icr062384","Madagascar","Didy",13,6,48.7624,-18.338,1.0151,0.0016,6.5,1.6,-25.64,"SHZone3",484
"icr062387","Madagascar","Didy",13,8,48.7613,-18.3395,1.0325,0.0017,23.8,1.7,-26.01,"SHZone3",276
"icr062388","Madagascar","Didy",13,8,48.7613,-18.3395,0.9352,0.0019,-72.7,1.9,-25.34,"SHZone3",6475
"icr062391","Madagascar","Didy",13,10,48.7611,-18.3433,1.054,0.0018,45.1,1.8,-26.21,"SHZone3",162
"icr062392","Madagascar","Didy",13,10,48.7611,-18.3433,0.988,0.0019,-20.3,1.9,-25.69,"SHZone3",1601
"icr062393","Madagascar","Didy",14,1,48.7623,-18.3122,1.0738,0.0019,64.7,1.9,-26.45,"SHZone3",107
"icr062394","Madagascar","Didy",14,1,48.7623,-18.3122,1.089,0.0021,79.8,2.1,-26.81,"SHZone3",80
"icr062399","Madagascar","Didy",14,4,48.7582,-18.3182,1.0575,0.002,48.6,2,-24.76,"SHZone3",150
"icr062400","Madagascar","Didy",14,4,48.7582,-18.3182,0.9215,0.002,-86.2,2,-24.54,"SHZone3",6475
"icr062403","Madagascar","Didy",14,6,48.7584,-18.3086,1.0658,0.0018,56.9,1.8,-25.96,"SHZone3",126
"icr062404","Madagascar","Didy",14,6,48.7584,-18.3086,0.9479,0.0019,-60.1,1.9,-25.27,"SHZone3",6475
"icr062405","Madagascar","Didy",14,7,48.7611,-18.3128,1.0542,0.0019,45.3,1.9,-25.73,"SHZone3",161
"icr062406","Madagascar","Didy",14,7,48.7611,-18.3128,0.9622,0.0019,-45.9,1.9,-25.21,"SHZone3",4806
"icr062407","Madagascar","Didy",14,8,48.7602,-18.3164,1.0895,0.0019,80.3,1.9,-26.68,"SHZone3",79
"icr062408","Madagascar","Didy",14,8,48.7602,-18.3164,0.9446,0.002,-63.4,2,-25.2,"SHZone3",6475
"icr062409","Madagascar","Didy",14,9,48.7614,-18.3162,1.052,0.002,43.1,2,-26.1,"SHZone3",169
"icr062410","Madagascar","Didy",14,9,48.7614,-18.3162,0.9781,0.0022,-30.2,2.2,-25.7,"SHZone3",2521
"icr062411","Madagascar","Didy",14,10,48.7614,-18.3125,1.034,0.0019,25.3,1.9,-25.93,"SHZone3",264
"icr062411","Madagascar","Didy",14,10,48.7614,-18.3125,1.034,0.0019,25.3,1.9,-25.93,"SHZone3",264
"icr062412","Madagascar","Didy",14,10,48.7614,-18.3125,0.9659,0.0018,-42.3,1.8,-25.39,"SHZone3",4174
"icr062415","Madagascar","Didy",15,2,48.7488,-18.3018,1.0815,0.0019,72.4,1.9,-26.8,"SHZone3",92
"icr062416","Madagascar","Didy",15,2,48.7488,-18.3018,0.9688,0.0018,-39.4,1.8,-25.4,"SHZone3",3716
"icr062417","Madagascar","Didy",15,3,48.7572,-18.3024,1.0555,0.0022,46.6,2.2,-26.47,"SHZone3",156
"icr062418","Madagascar","Didy",15,3,48.7572,-18.3024,0.9954,0.0019,-13,1.9,-26.09,"SHZone3",1130
"icr062421","Madagascar","Didy",15,5,48.7573,-18.303,1.0474,0.0021,38.5,2.1,-26.46,"SHZone3",188
"icr062422","Madagascar","Didy",15,5,48.7573,-18.303,1.0515,0.0018,42.6,1.8,-26.5,"SHZone3",171
"icr062427","Madagascar","Didy",15,8,48.7506,-18.2992,1.0495,0.002,40.7,2,-26.05,"SHZone3",179
"icr062428","Madagascar","Didy",15,8,48.7506,-18.2992,0.9604,0.002,-47.7,2,-25.2,"SHZone3",5151
"icr062431","Madagascar","Didy",15,10,48.7535,-18.2949,1.0274,0.0018,18.7,1.8,-25.64,"SHZone3",320
"icr062432","Madagascar","Didy",15,10,48.7535,-18.2949,0.8956,0.0017,-112,1.8,-25.23,"SHZone3",6475
"icr062432","Madagascar","Didy",15,10,48.7535,-18.2949,0.8956,0.0017,-112,1.8,-25.23,"SHZone3",6475
"icr062435","Madagascar","Didy",16,2,48.7581,-18.2736,1.0461,0.0019,37.3,1.9,-25.89,"SHZone3",194
"icr062436","Madagascar","Didy",16,2,48.7581,-18.2736,0.9409,0.0017,-67,1.7,-25.34,"SHZone3",6475
"icr062437","Madagascar","Didy",16,3,48.7558,-18.2809,1.0225,0.0019,13.8,1.9,-26.3,"SHZone3",375
"icr062438","Madagascar","Didy",16,3,48.7558,-18.2809,0.9272,0.0018,-80.6,1.8,-25.06,"SHZone3",6475
"icr062439","Madagascar","Didy",16,4,48.7579,-18.2813,1.0264,0.0034,17.8,3.4,-26.1,"SHZone3",329
"icr062440","Madagascar","Didy",16,4,48.7579,-18.2813,1.0294,0.0023,20.8,2.3,-26.15,"SHZone3",301
"icr062443","Madagascar","Didy",16,7,48.763,-18.2765,1.0235,0.0034,14.9,3.4,-25.76,"SHZone3",361
"icr062444","Madagascar","Didy",16,7,48.763,-18.2765,0.8842,0.0024,-123.3,2.4,-24.72,"SHZone3",6475
"icr062451","Madagascar","Didy",16,11,48.763,-18.2754,1.0154,0.002,6.9,2,-25.47,"SHZone3",477
"icr062452","Madagascar","Didy",16,11,48.763,-18.2754,0.9161,0.0019,-91.6,1.9,-24.16,"SHZone3",6475
"icr068131","Niger","Nyalagari",2,7,1.735128333,13.393575,0.8466,0.0051,-160.5,5.1,NA,"NHZone3",6474
"icr068132","Niger","Nyalagari",2,7,1.735128333,13.393575,0.7504,0.0047,-255.9,4.7,NA,"NHZone3",6474
"icr068149","Niger","Nyalagari",3,6,1.731593333,13.418405,0.8937,0.0059,-113.8,5.9,NA,"NHZone3",6474
"icr068150","Niger","Nyalagari",3,6,1.731593333,13.418405,0.8098,0.005,-197,5,NA,"NHZone3",6474
"icr068161","Niger","Nyalagari",4,2,1.738738333,13.43555333,0.991,0.0024,-17.4,2.4,-22.42,"NHZone3",1402
"icr068162","Niger","Nyalagari",4,2,1.738738333,13.43555333,0.9695,0.0026,-38.7,2.6,-22.11,"NHZone3",3619
"icr068221","Niger","Nyalagari",7,2,1.754711667,13.41339833,0.826,0.0051,-180.9,5.1,NA,"NHZone3",6474
"icr068222","Niger","Nyalagari",7,2,1.754711667,13.41339833,0.7844,0.0049,-222.3,4.9,NA,"NHZone3",6474
"icr068279","Niger","Nyalagari",10,1,1.77919,13.38991667,0.9488,0.0024,-59.2,2.4,-19.74,"NHZone3",6474
"icr068280","Niger","Nyalagari",10,1,1.77919,13.38991667,0.9971,0.0029,-11.3,2.9,-19.77,"NHZone3",1048
"icr068321","Niger","Nyalagari",12,2,1.777961667,13.43786,0.9815,0.0025,-26.7,2.5,-22.37,"NHZone3",2164
"icr068322","Niger","Nyalagari",12,2,1.777961667,13.43786,0.973,0.0022,-35.2,2.2,-22.47,"NHZone3",3132
"icr068339","Niger","Nyalagari",13,1,1.804516667,13.37199833,0.921,0.0053,-86.8,5.3,NA,"NHZone3",6474
"icr068340","Niger","Nyalagari",13,1,1.804516667,13.37199833,0.8839,0.0052,-123.6,5.2,NA,"NHZone3",6474
"icr068340","Niger","Nyalagari",13,1,1.804516667,13.37199833,0.8839,0.0052,-123.6,5.2,NA,"NHZone3",6474
"icr068361","Niger","Nyalagari",14,2,1.798298333,13.38568167,0.9642,0.0028,-43.9,2.8,-22.92,"NHZone3",4451
"icr068362","Niger","Nyalagari",14,2,1.798298333,13.38568167,0.9219,0.0026,-85.9,2.6,-22.08,"NHZone3",6474
"icr068381","Niger","Nyalagari",15,2,1.802671667,13.404805,0.928,0.0026,-79.8,2.6,-23.75,"NHZone3",6474
"icr068382","Niger","Nyalagari",15,2,1.802671667,13.404805,0.8715,0.0031,-135.8,3.1,-23.44,"NHZone3",6474
"icr068399","Niger","Nyalagari",16,1,1.799123333,13.43122,1.0073,0.0023,-1.2,2.3,-22.06,"NHZone3",665
"icr068400","Niger","Nyalagari",16,1,1.799123333,13.43122,0.9164,0.003,-91.3,3,-20.88,"NHZone3",6474
