"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET"
"icr042265","Morijo",16,1,"Topsoil",35.8539772,-1.68765497,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460
"icr042266","Morijo",16,1,"Subsoil",35.8539772,-1.68765497,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460
"icr042267","Morijo",16,2,"Topsoil",35.85451508,-1.68508506,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460
"icr042268","Morijo",16,2,"Subsoil",35.85451508,-1.68508506,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.7208334604899,1005,1460
"icr042280","Morijo",16,9,"Topsoil",35.848,-1.68759,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447
"icr042281","Morijo",16,9,"Subsoil",35.848,-1.68759,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447
"icr042282","Morijo",16,10,"Topsoil",35.8489,-1.68592,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447
"icr042283","Morijo",16,10,"Subsoil",35.8489,-1.68592,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.4916665951411,1015,1447
"icr048664","Madadeni",13,2,"Topsoil",30.0861,-27.6154,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.8375000456969,789,1815
"icr048665","Madadeni",13,2,"Subsoil",30.0861,-27.6154,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.8375000456969,789,1815
"icr048837","Hopetown",8,2,"Topsoil",23.933,-29.7781,"Arid, steppe, cold","BSk","Arid, desert, hot","BWh","Arid","Arid",17.6249999981374,326,2340
"icr048838","Hopetown",8,2,"Subsoil",23.933,-29.7781,"Arid, steppe, cold","BSk","Arid, desert, hot","BWh","Arid","Arid",17.6249999981374,326,2340
"icr050214","Martinho",5,1,"Topsoil",38.96290833,-16.17429833,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1625000238419,1149,1764
"icr050215","Martinho",5,1,"Subsoil",38.96290833,-16.17429833,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1625000238419,1149,1764
"icr050354","Martinho",12,1,"Topsoil",38.98612833,-16.11628667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1166668335597,1130,1766
"icr050355","Martinho",12,1,"Subsoil",38.98612833,-16.11628667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.1166668335597,1130,1766
"icr054175","Namasuba",1,7,"Topsoil",32.26567841,0.49293199,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.7750002145767,1158,1549
"icr054176","Namasuba",1,7,"Subsoil",32.26567841,0.49293199,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.7750002145767,1158,1549
"icr054181","Namasuba",1,10,"Topsoil",32.26797867,0.49572,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8791666030884,1172,1555
"icr054182","Namasuba",1,10,"Subsoil",32.26797867,0.49572,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8791666030884,1172,1555
"icr054188","Namasuba",2,4,"Topsoil",32.26695633,0.51490003,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565
"icr054189","Namasuba",2,4,"Subsoil",32.26695633,0.51490003,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565
"icr054190","Namasuba",2,5,"Topsoil",32.27025223,0.51411301,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565
"icr054191","Namasuba",2,5,"Subsoil",32.27025223,0.51411301,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0833332935969,1194,1565
"icr054201","Namasuba",3,1,"Topsoil",32.26804352,0.53347302,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.170833269755,1182,1581
"icr054202","Namasuba",3,1,"Subsoil",32.26804352,0.53347302,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.170833269755,1182,1581
"icr054234","Namasuba",4,9,"Topsoil",32.26136017,0.55520201,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.154166618983,1184,1582
"icr054235","Namasuba",4,9,"Subsoil",32.26136017,0.55520201,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.154166618983,1184,1582
"icr054256","Namasuba",5,10,"Topsoil",32.28332138,0.49879301,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.008333325386,1183,1560
"icr054257","Namasuba",5,10,"Subsoil",32.28332138,0.49879301,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.008333325386,1183,1560
"icr054269","Namasuba",6,7,"Topsoil",32.28722,0.50801003,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0291666587194,1197,1557
"icr054270","Namasuba",6,7,"Subsoil",32.28722,0.50801003,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0291666587194,1197,1557
"icr054285","Namasuba",7,8,"Topsoil",32.28696823,0.54031301,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.2333333094915,1183,1584
"icr054286","Namasuba",7,8,"Subsoil",32.28696823,0.54031301,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.2333333094915,1183,1584
"icr054287","Namasuba",7,9,"Topsoil",32.29005432,0.53937298,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.2333333094915,1183,1584
"icr054288","Namasuba",7,9,"Subsoil",32.29005432,0.53937298,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.2333333094915,1183,1584
"icr054301","Namasuba",8,5,"Topsoil",32.29267502,0.565265,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1999999284744,1185,1584
"icr054302","Namasuba",8,5,"Subsoil",32.29267502,0.565265,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1999999284744,1185,1584
"icr054307","Namasuba",8,8,"Topsoil",32.28472519,0.56025702,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.212500055631,1189,1584
"icr054308","Namasuba",8,8,"Subsoil",32.28472519,0.56025702,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.212500055631,1189,1584
"icr054309","Namasuba",8,9,"Topsoil",32.28888702,0.55812198,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1833332777023,1188,1580
"icr054310","Namasuba",8,9,"Subsoil",32.28888702,0.55812198,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1833332777023,1188,1580
"icr054315","Namasuba",9,2,"Topsoil",32.30392838,0.49693999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1041667461395,1191,1565
"icr054316","Namasuba",9,2,"Subsoil",32.30392838,0.49693999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1041667461395,1191,1565
"icr054322","Namasuba",9,7,"Topsoil",32.3050766,0.49724999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1041667461395,1191,1565
"icr054323","Namasuba",9,7,"Subsoil",32.3050766,0.49724999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1041667461395,1191,1565
"icr054363","Namasuba",12,3,"Topsoil",32.30693817,0.55994499,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1291668017705,1173,1583
"icr054364","Namasuba",12,3,"Subsoil",32.30693817,0.55994499,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.1291668017705,1173,1583
"icr054372","Namasuba",12,10,"Topsoil",32.30748367,0.55493498,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8958333333333,1168,1571
"icr054373","Namasuba",12,10,"Subsoil",32.30748367,0.55493498,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8958333333333,1168,1571
"icr054387","Namasuba",14,1,"Topsoil",32.33942032,0.51074201,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054388","Namasuba",14,1,"Subsoil",32.33942032,0.51074201,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054395","Namasuba",14,5,"Topsoil",32.33616638,0.50930202,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054396","Namasuba",14,5,"Subsoil",32.33616638,0.50930202,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054402","Namasuba",14,9,"Topsoil",32.33401489,0.51394999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054403","Namasuba",14,9,"Subsoil",32.33401489,0.51394999,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0166665315628,1176,1568
"icr054410","Namasuba",15,5,"Topsoil",32.33211136,0.52495998,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.9208334287008,1156,1567
"icr054411","Namasuba",15,5,"Subsoil",32.33211136,0.52495998,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.9208334287008,1156,1567
"icr054415","Namasuba",15,9,"Topsoil",32.33204269,0.52944702,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8666666348775,1162,1568
"icr054416","Namasuba",15,9,"Subsoil",32.33204269,0.52944702,"Tropical, monsoon","Am","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",21.8666666348775,1162,1568
"icr054426","Namasuba",16,5,"Topsoil",32.33074188,0.56059003,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0750000079473,1167,1583
"icr054427","Namasuba",16,5,"Subsoil",32.33074188,0.56059003,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0750000079473,1167,1583
"icr054433","Namasuba",16,9,"Topsoil",32.32992935,0.56426501,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0750000079473,1167,1583
"icr054434","Namasuba",16,9,"Subsoil",32.32992935,0.56426501,"Tropical, rainforest","Af","Tropical, rainforest","Af","Tropical (humid)","Tropical (humid)",22.0750000079473,1167,1583
"icr054445","Hoima",1,6,"Topsoil",31.46744833,1.452473333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.8541666666667,1285,1610
"icr054446","Hoima",1,6,"Subsoil",31.46744833,1.452473333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.8541666666667,1285,1610
"icr054449","Hoima",1,8,"Topsoil",31.472245,1.457278333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.8541666666667,1285,1610
"icr054450","Hoima",1,8,"Subsoil",31.472245,1.457278333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.8541666666667,1285,1610
"icr054523","Hoima",6,7,"Topsoil",31.49498167,1.481888333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.9374998013179,1304,1618
"icr054524","Hoima",6,7,"Subsoil",31.49498167,1.481888333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",21.9374998013179,1304,1618
"icr054556","Hoima",8,8,"Topsoil",31.48545833,1.52404,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.9583332538605,1329,1664
"icr054557","Hoima",8,8,"Subsoil",31.48545833,1.52404,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.9583332538605,1329,1664
"icr054574","Hoima",9,6,"Topsoil",31.51262,1.461373333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.6708335081736,1306,1654
"icr054575","Hoima",9,6,"Subsoil",31.51262,1.461373333,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.6708335081736,1306,1654
"icr054643","Hoima",13,4,"Topsoil",31.533415,1.45752,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.8041666348775,1284,1676
"icr054644","Hoima",13,4,"Subsoil",31.533415,1.45752,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.8041666348775,1284,1676
"icr054709","Hoima",16,8,"Topsoil",31.53856333,1.52303,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.9749999841054,1323,1676
"icr054710","Hoima",16,8,"Subsoil",31.53856333,1.52303,"Tropical, monsoon","Am","Tropical, monsoon","Am","Tropical (humid)","Tropical (humid)",22.9749999841054,1323,1676
"icr056500","Monga",16,1,"Topsoil",28.32967,-16.04378333,"Temperate, dry winter, hot summer","Cwa","Arid, steppe, hot","BSh","Temperate (seasonal)","Arid",20.9874999523163,776,2076
"icr056501","Monga",16,1,"Subsoil",28.32967,-16.04378333,"Temperate, dry winter, hot summer","Cwa","Arid, steppe, hot","BSh","Temperate (seasonal)","Arid",20.9874999523163,776,2076
"icr062136","Didy",1,2,"Topsoil",48.6886,-18.3426,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062137","Didy",1,2,"Subsoil",48.6886,-18.3426,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062141","Didy",1,5,"Topsoil",48.6894,-18.3452,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062142","Didy",1,5,"Subsoil",48.6894,-18.3452,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062147","Didy",1,8,"Topsoil",48.6914,-18.3482,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062148","Didy",1,8,"Subsoil",48.6914,-18.3482,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062151","Didy",1,10,"Topsoil",48.6911,-18.3417,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062152","Didy",1,10,"Subsoil",48.6911,-18.3417,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5500000715256,1725,1416
"icr062157","Didy",2,2,"Topsoil",48.6871,-18.3113,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062158","Didy",2,2,"Subsoil",48.6871,-18.3113,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062159","Didy",2,3,"Topsoil",48.6861,-18.3158,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062160","Didy",2,3,"Subsoil",48.6861,-18.3158,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062165","Didy",2,6,"Topsoil",48.689,-18.3145,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062166","Didy",2,6,"Subsoil",48.689,-18.3145,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062167","Didy",2,7,"Topsoil",48.6913,-18.3171,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3499999046326,1666,1413
"icr062168","Didy",2,7,"Subsoil",48.6913,-18.3171,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3499999046326,1666,1413
"icr062169","Didy",2,8,"Topsoil",48.6868,-18.3108,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062170","Didy",2,8,"Subsoil",48.6868,-18.3108,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.3041667143504,1642,1416
"icr062179","Didy",3,3,"Topsoil",48.6889,-18.3041,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062180","Didy",3,3,"Subsoil",48.6889,-18.3041,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062183","Didy",3,5,"Topsoil",48.6864,-18.301,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062184","Didy",3,5,"Subsoil",48.6864,-18.301,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062187","Didy",3,7,"Topsoil",48.6897,-18.3016,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062188","Didy",3,7,"Subsoil",48.6897,-18.3016,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.5958333412806,1665,1433
"icr062195","Didy",4,1,"Topsoil",48.6875,-18.2759,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062196","Didy",4,1,"Subsoil",48.6875,-18.2759,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062199","Didy",4,3,"Topsoil",48.6856,-18.2763,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062200","Didy",4,3,"Subsoil",48.6856,-18.2763,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062201","Didy",4,4,"Topsoil",48.6847,-18.2806,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062202","Didy",4,4,"Subsoil",48.6847,-18.2806,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062203","Didy",4,5,"Topsoil",48.688,-18.2833,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062204","Didy",4,5,"Subsoil",48.688,-18.2833,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062209","Didy",4,8,"Topsoil",48.6918,-18.2811,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7875001430511,1653,1445
"icr062210","Didy",4,8,"Subsoil",48.6918,-18.2811,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7875001430511,1653,1445
"icr062211","Didy",4,9,"Topsoil",48.6881,-18.2798,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062212","Didy",4,9,"Subsoil",48.6881,-18.2798,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.6499999761581,1629,1442
"icr062213","Didy",4,10,"Topsoil",48.6938,-18.2774,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7875001430511,1653,1445
"icr062214","Didy",4,10,"Subsoil",48.6938,-18.2774,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7875001430511,1653,1445
"icr062219","Didy",5,3,"Topsoil",48.7164,-18.3374,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.4916667938232,1706,1414
"icr062220","Didy",5,3,"Subsoil",48.7164,-18.3374,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.4916667938232,1706,1414
"icr062227","Didy",5,7,"Topsoil",48.7087,-18.3377,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.4916667938232,1706,1414
"icr062228","Didy",5,7,"Subsoil",48.7087,-18.3377,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.4916667938232,1706,1414
"icr062237","Didy",6,2,"Topsoil",48.7092,-18.3233,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062238","Didy",6,2,"Subsoil",48.7092,-18.3233,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062241","Didy",6,4,"Topsoil",48.7156,-18.3228,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062242","Didy",6,4,"Subsoil",48.7156,-18.3228,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062243","Didy",6,5,"Topsoil",48.7144,-18.3216,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062244","Didy",6,5,"Subsoil",48.7144,-18.3216,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062247","Didy",6,7,"Topsoil",48.7119,-18.317,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062248","Didy",6,7,"Subsoil",48.7119,-18.317,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062249","Didy",6,8,"Topsoil",48.7139,-18.3219,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062250","Didy",6,8,"Subsoil",48.7139,-18.3219,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062251","Didy",6,9,"Topsoil",48.7118,-18.3216,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062252","Didy",6,9,"Subsoil",48.7118,-18.3216,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062253","Didy",6,10,"Topsoil",48.7157,-18.318,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062254","Didy",6,10,"Subsoil",48.7157,-18.318,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7958331902822,1724,1435
"icr062259","Didy",7,3,"Topsoil",48.7147,-18.2955,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062260","Didy",7,3,"Subsoil",48.7147,-18.2955,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062261","Didy",7,4,"Topsoil",48.7112,-18.2946,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062262","Didy",7,4,"Subsoil",48.7112,-18.2946,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062263","Didy",7,5,"Topsoil",48.7105,-18.2959,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062264","Didy",7,5,"Subsoil",48.7105,-18.2959,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.8041669130325,1691,1439
"icr062265","Didy",7,6,"Topsoil",48.7069,-18.2948,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7333333889643,1675,1439
"icr062266","Didy",7,6,"Subsoil",48.7069,-18.2948,"Temperate, no dry season, hot summer","Cfa","Tropical, monsoon","Am","Temperate (humid)","Tropical (humid)",19.7333333889643,1675,1439
