SSN,Site,Cluster,Plot,Depth,Longitude,Latitude
icr073068,Bimbe,7,1,Topsoil,15.90537,-11.72861167
icr073069,Bimbe,7,1,Subsoil,15.90537,-11.72861167
icr073148,Bimbe,11,1,Topsoil,15.92955167,-11.72815
icr073149,Bimbe,11,1,Subsoil,15.92955167,-11.72815
icr073168,Bimbe,12,1,Topsoil,15.92522667,-11.70322333
icr073169,Bimbe,12,1,Subsoil,15.92522667,-11.70322333
icr073228,Bimbe,15,1,Topsoil,15.94343,-11.72477
icr073229,Bimbe,15,1,Subsoil,15.94343,-11.72477
icr073300,Luimbale,1,1,Topsoil,15.14388333,-12.35919
icr073301,Luimbale,1,1,Subsoil,15.14388333,-12.35919
icr073379,Luimbale,5,1,Topsoil,15.16175667,-12.3554
icr073380,Luimbale,5,1,Subsoil,15.16175667,-12.3554
icr073439,Luimbale,8,1,Topsoil,15.17505,-12.297935
icr073440,Luimbale,8,1,Subsoil,15.17505,-12.297935
icr073519,Luimbale,12,1,Topsoil,15.19546833,-12.295335
icr073520,Luimbale,12,1,Subsoil,15.19546833,-12.295335
icr073558,Luimbale,14,1,Topsoil,15.22182667,-12.32752333
icr073559,Luimbale,14,1,Subsoil,15.22182667,-12.32752333
icr073578,Luimbale,15,1,Topsoil,15.21382333,-12.31476833
icr073579,Luimbale,15,1,Subsoil,15.21382333,-12.31476833
icr074509,Paje,12,1,Topsoil,26.4957,-21.7232
icr074510,Paje,12,1,Subsoil,26.4957,-21.7232
icr074691,Gumare,4,1,Topsoil,22.0128,-19.3495
icr074692,Gumare,4,1,Subsoil,22.0128,-19.3495
icr074731,Gumare,6,1,Topsoil,22.039,-19.3952
icr074732,Gumare,6,1,Subsoil,22.039,-19.3952
icr075676,Musungwa,1,1,Topsoil,26.093142,-15.897394
icr075677,Musungwa,1,1,Subsoil,26.093142,-15.897394
icr075696,Musungwa,2,1,Topsoil,26.098539,-15.867407
icr075697,Musungwa,2,1,Subsoil,26.098539,-15.867407
icr075756,Musungwa,5,1,Topsoil,26.115347,-15.896971
icr075757,Musungwa,5,1,Subsoil,26.115347,-15.896971
icr075916,Musungwa,13,1,Topsoil,26.166365,-15.89698167
icr075917,Musungwa,13,1,Subsoil,26.166365,-15.89698167
icr076353,Analavory,1,5,Topsoil,46.640183,-19.025532
icr076354,Analavory,1,5,Subsoil,46.640183,-19.025532
icr076357,Analavory,1,8,Topsoil,46.640384,-19.023296
icr076358,Analavory,1,8,Subsoil,46.640384,-19.023296
icr076362,Analavory,1,11,Topsoil,46.634228,-19.02658
icr076363,Analavory,1,11,Subsoil,46.634228,-19.02658
icr076374,Analavory,2,6,Topsoil,46.629493,-19.003005
icr076375,Analavory,2,6,Subsoil,46.629493,-19.003005
icr076386,Analavory,3,2,Topsoil,46.634883,-18.980252
icr076387,Analavory,3,2,Subsoil,46.634883,-18.980252
icr076406,Analavory,4,2,Topsoil,46.639697,-18.95421
icr076407,Analavory,4,2,Subsoil,46.639697,-18.95421
icr076418,Analavory,4,8,Topsoil,46.63595,-18.962023
icr076419,Analavory,4,8,Subsoil,46.63595,-18.962023
icr076422,Analavory,4,10,Topsoil,46.632403,-18.957634
icr076423,Analavory,4,10,Subsoil,46.632403,-18.957634
icr076446,Analavory,6,2,Topsoil,46.65776,-19.001199
icr076447,Analavory,6,2,Subsoil,46.65776,-19.001199
icr076460,Analavory,6,9,Topsoil,46.660293,-18.999384
icr076461,Analavory,6,9,Subsoil,46.660293,-18.999384
icr076480,Analavory,7,9,Topsoil,46.660746,-18.97778
icr076481,Analavory,7,9,Subsoil,46.660746,-18.97778
icr076494,Analavory,8,6,Topsoil,46.652397,-18.958693
icr076495,Analavory,8,6,Subsoil,46.652397,-18.958693
icr076508,Analavory,9,4,Topsoil,46.676483,-19.020066
icr076509,Analavory,9,4,Subsoil,46.676483,-19.020066
icr076518,Analavory,9,9,Topsoil,46.679666,-19.017739
icr076519,Analavory,9,9,Subsoil,46.679666,-19.017739
icr076527,Analavory,10,5,Topsoil,46.678734,-19.006775
icr076528,Analavory,10,5,Subsoil,46.678734,-19.006775
icr076569,Analavory,12,6,Topsoil,46.684407,-18.955873
icr076570,Analavory,12,6,Subsoil,46.684407,-18.955873
icr076599,Analavory,13,14,Topsoil,46.708536,-19.018618
icr076600,Analavory,13,14,Subsoil,46.708536,-19.018618
icr076607,Analavory,14,4,Topsoil,46.700807,-19.011172
icr076608,Analavory,14,4,Subsoil,46.700807,-19.011172
icr076611,Analavory,14,6,Topsoil,46.704284,-19.004856
icr076612,Analavory,14,6,Subsoil,46.704284,-19.004856
icr076632,Analavory,15,7,Topsoil,46.70011,-18.981098
icr076633,Analavory,15,7,Subsoil,46.70011,-18.981098
icr076638,Analavory,15,10,Topsoil,46.702414,-18.982985
icr076639,Analavory,15,10,Subsoil,46.702414,-18.982985
icr076646,Analavory,16,4,Topsoil,46.708034,-18.956841
icr076647,Analavory,16,4,Subsoil,46.708034,-18.956841
